ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
1,Mortar assault leaves at least 18 dead,other,na,negative,na,na,sadness
2,Goal delight for Sheva,other,present,positive,positive,na,joy
3,Nigeria hostage feared dead is freed,other,na,negative,na,na,joy
4,Bombers kill shoppers,other,present,negative,neut,negative,fear
5,"Vegetables, not fruit, slow brain decline",other,na,negative,na,na,surprise
6,PM: Havana deal a good experiment,other,na,positive,na,na,joy
7,Kate is marrying Doherty,other,present,neut,neut,neut,joy
8,NASA revisiting life on Mars question,other,na,neut,na,na,surprise
9,"Happy birthday, iPod",other,na,neut,na,na,joy
10,Alonso would be happy to retire with three titles,other,na,positive,na,na,joy
11,Madonna's New Tot 'Happy at Home' in London,other,na,neut,na,neut,joy
12,Nicole Kidman asks dad to help stop husband's drinking,other,present,neut,neut,neut,sadness
13,United Finds Good Connection in Win,other,na,neut,na,na,joy
14,'Runway': Making Good Without Making Nice,other,na,neut,na,na,joy
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",self,na,negative,na,neut,sadness
16,Bad reasons to be good,other,na,positive,na,positive,sadness
17,Madonna's new baby's daddy didn't realize adoption was `for good',other,na,positive,na,positive,surprise
18,Women in their 60s 'are perfectly good mothers',other,na,positive,na,na,sadness
19,We're a pretty kind 'bully',self,na,positive,na,na,joy
20,Moderate drinking reduces men's heart attack risk,other,present,negative,negative,negative,joy
21,Tom Cruise and Katie Holmes set wedding date,other,past,neut,neut,neut,joy
22,Kidnapped AP photographer freed in Gaza,other,na,positive,na,positive,fear
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",other,na,neut,na,na,disgust
24,Hurricane Paul Weakens To Tropical Storm,other,na,neut,na,neut,surprise
25,UK announces immigration restrictions,other,present,negative,negative,negative,anger
26,Three found alive from missing Russian ship -report,other,present,negative,neut,negative,joy
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,other,na,neut,na,na,sadness
28,Injured Marathon Winner Leaves Hospital,other,na,neut,na,na,joy
29,Hacker unlocks Apple music download protection,other,present,positive,positive,positive,surprise
30,Spanish journalist seized in Gaza,other,na,neut,na,neut,fear
31,Sudan urges UN to replace its special envoy,other,present,neut,neut,neut,surprise
32,Resolution approved for international games,other,na,positive,na,positive,joy
33,Pair of Satellites Will Document Sun in 3-D,other,na,neut,na,na,joy
34,Martian Life Could Have Evaded Detection by Viking Landers,other,present,neut,neut,neut,surprise
35,The sweet tune of an anniversary,other,na,positive,na,na,joy
