ID,text,pos,neg,PRP$,VBG,VBD,``,VBN,POS,'',VBP,WDT,JJ,WP,VBZ,DT,#,RP,$,NN,),(,FW,",",.,TO,PRP,RB,:,NNS,NNP,VB,WRB,CC,PDT,RBS,RBR,CD,EX,IN,MD,NNPS,JJS,JJR,SYM,UH,label
1,This was the best summer I have ever experienced.,0.1,0.0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,joy
2,I hate fucking pills.,0.0,0.4,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,disgust
3,I had a blast in california hanging out with my family and friends.,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,0.07142857142857142,0,0.21428571428571427,0,0,0,0,0.07142857142857142,0,0.07142857142857142,0,0,0.07142857142857142,0,0,0,0.07142857142857142,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,joy
4,Thank you to everyone who made me feel at home.,0.0,0.0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0.18181818181818182,0,0,0,0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0,0,0,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,joy
5,:) I love ya :),0.14285714285714285,0.0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
6,"My best friend, her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday.",0.045454545454545456,0.0,0.13636363636363635,0,0.045454545454545456,0,0,0,0,0,0,0.045454545454545456,0,0,0.045454545454545456,0,0,0,0.3181818181818182,0,0,0,0.045454545454545456,0.045454545454545456,0,0.045454545454545456,0,0,0,0,0.045454545454545456,0,0.09090909090909091,0,0,0,0,0,0.09090909090909091,0,0,0.045454545454545456,0,0,0,surprise
7,Thank you so much for everyone who came.,0.0,0.0,0,0,0.1111111111111111,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0.1111111111111111,0,0,0,0,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0,0.1111111111111111,0,0,0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0,joy
8,:) Hailey recieved many gift cards (because I couldn't bring that much on the plane back home) and cute baby clothes and toys!!,0.034482758620689655,0.0,0,0,0.034482758620689655,0,0,0,0,0,0,0.06896551724137931,0,0.034482758620689655,0.034482758620689655,0,0,0,0.13793103448275862,0.06896551724137931,0.034482758620689655,0,0,0.06896551724137931,0,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.034482758620689655,0,0.06896551724137931,0,0,0,0,0,0.06896551724137931,0.034482758620689655,0,0,0,0,0,joy
9,Thank you everyone!,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
10,"We had a wonderful yummy cake, fruit and veggie treats.",0.08333333333333333,0.0,0,0,0.08333333333333333,0,0,0,0,0,0,0.08333333333333333,0,0,0.08333333333333333,0,0,0,0.3333333333333333,0,0,0,0.08333333333333333,0.08333333333333333,0,0.08333333333333333,0,0,0.08333333333333333,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,joy
11,"My friend Misty brought her cute new baby girl, Jamie!!",0.07692307692307693,0.0,0.15384615384615385,0,0.07692307692307693,0,0,0,0,0,0,0.15384615384615385,0,0,0,0,0,0,0.23076923076923078,0,0,0,0.07692307692307693,0.15384615384615385,0,0,0,0,0,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
12,She is so adorable!!,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
13,We played fun baby games and caught up on some old times.,0.07692307692307693,0.0,0,0,0.15384615384615385,0,0,0,0,0,0,0.07692307692307693,0,0,0.07692307692307693,0,0.07692307692307693,0,0.15384615384615385,0,0,0,0,0.07692307692307693,0,0.07692307692307693,0,0,0.15384615384615385,0,0,0,0.07692307692307693,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,joy
14,I had a blast thank you friend!!!!,0.09090909090909091,0.0,0,0,0.09090909090909091,0,0,0,0,0.09090909090909091,0,0,0,0,0.09090909090909091,0,0,0,0.18181818181818182,0,0,0,0,0.36363636363636365,0,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
15,Thank you guys.,0.0,0.0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
16,"I miss you so much and can't wait to see Ginny, Sister friend and my mom in a couple months!!!",0.0,0.04,0.04,0,0,0,0,0,0,0.04,0,0.08,0,0,0.04,0,0,0,0.08,0,0,0,0.04,0.12,0.04,0.08,0.08,0,0.04,0.08,0.08,0,0.08,0,0,0,0,0,0.04,0.04,0,0,0,0,0,sadness
17,Love you,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
18,"So many lies about who you're talking to, where you're going, what you're doing.",0.0,0.05,0,0.15,0,0,0,0,0,0.15,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0.1,0.05,0.05,0.15,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,disgust
19,"The people that just have to send a ""hug"" and it puts a smile on your face.",0.1,0.0,0.05,0,0,0.05,0,0,0.05,0.05,0.05,0,0,0.05,0.15,0,0,0,0.15,0,0,0,0,0.05,0.05,0.05,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,joy
20,They are amazing.,0.25,0.0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,surprise
21,and I love them.,0.2,0.0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,joy
22,My life is falling apart and I don't mean online.,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0.08333333333333333,0,0,0,0.08333333333333333,0,0,0,0,0.16666666666666666,0,0,0,0,0.08333333333333333,0,0.08333333333333333,0.16666666666666666,0,0,0,0.08333333333333333,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,sadness
23,"I'm becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn, I just feel like I'm compltely useless.",0.03225806451612903,0.06451612903225806,0,0.03225806451612903,0,0,0.0967741935483871,0,0,0.12903225806451613,0,0.06451612903225806,0,0,0.03225806451612903,0,0,0,0.0967741935483871,0.03225806451612903,0.03225806451612903,0,0.03225806451612903,0.03225806451612903,0,0.16129032258064516,0.0967741935483871,0,0.03225806451612903,0,0,0,0.03225806451612903,0,0,0,0,0,0.0967741935483871,0,0,0,0,0,0,sadness
24,I started callin myself Aki-sama XD It's fun.,0.1,0.0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0.1,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
25,"The Charlotte Observer featured this article about deep-fried Coke a few days ago, which is appaling enough by itself.",0.047619047619047616,0.047619047619047616,0,0.047619047619047616,0.047619047619047616,0,0,0,0,0,0.047619047619047616,0.09523809523809523,0,0.047619047619047616,0.14285714285714285,0,0,0,0.047619047619047616,0,0,0,0.047619047619047616,0.047619047619047616,0,0.047619047619047616,0.09523809523809523,0,0.047619047619047616,0.14285714285714285,0,0,0,0,0,0,0,0,0.09523809523809523,0,0,0,0,0,0,disgust
26,"(Speaking of deep-fried shit, did you know there was a town in Texas where they take a Snickers bar, wrap it in bacon, and then deep-fry it?)",0.0,0.030303030303030304,0,0.030303030303030304,0.06060606060606061,0,0,0,0,0.06060606060606061,0,0.030303030303030304,0,0,0.06060606060606061,0,0,0,0.12121212121212122,0.030303030303030304,0.030303030303030304,0,0.09090909090909091,0.030303030303030304,0,0.12121212121212122,0.030303030303030304,0,0,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.030303030303030304,0,0,0,0,0.030303030303030304,0.09090909090909091,0,0,0,0,0,0,disgust
27,How awesome is this country?,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
28,Had a lovely birthday yesterday with Alex and Christine.,0.1,0.0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,joy
29,Been seeing so many good friends and refilling my cell-phone contacts.,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0,0.08333333333333333,0,0.16666666666666666,0.08333333333333333,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,joy
30,Visiting Bard was like a warm blanket.,0.25,0.0,0,0.125,0.125,0,0,0,0,0,0,0.125,0,0,0.125,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,joy
31,Earlham is also making me feel more happy than I feel at home.,0.07142857142857142,0.0,0,0.07142857142857142,0,0,0,0,0,0.07142857142857142,0,0.07142857142857142,0,0.07142857142857142,0,0,0,0,0.07142857142857142,0,0,0,0,0.07142857142857142,0,0.14285714285714285,0.07142857142857142,0,0,0.07142857142857142,0.07142857142857142,0,0,0,0,0.07142857142857142,0,0,0.14285714285714285,0,0,0,0,0,0,joy
32,"Oh and also, I'm listening to an audio book of ""The Time-Traveler's Wife"" and loving it.",0.045454545454545456,0.0,0,0.09090909090909091,0,0.045454545454545456,0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0,0.045454545454545456,0,0,0.09090909090909091,0,0,0,0.045454545454545456,0,0,0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0,0,0.09090909090909091,0,0,0.09090909090909091,0,0,0,0,0,0.045454545454545456,0,0,0,0,0,0.045454545454545456,joy
33,Octoberfest was awesome.,0.25,0.0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
34,I also got a ton of compliments including from a couple of strippers that weren't even mine.,0.05263157894736842,0.0,0,0.05263157894736842,0.10526315789473684,0,0,0,0,0,0.05263157894736842,0,0,0,0.10526315789473684,0,0,0,0.10526315789473684,0,0,0,0,0.05263157894736842,0,0.05263157894736842,0.15789473684210525,0,0.10526315789473684,0,0.05263157894736842,0,0,0,0,0,0,0,0.15789473684210525,0,0,0,0,0,0,joy
35,What a ridiculously awesome time I had yesterday.,0.1111111111111111,0.1111111111111111,0,0,0.1111111111111111,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0,0,0,0.2222222222222222,0,0,0,0,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
36,It must have been all your good lucks and have funs that did it.,0.2,0.0,0.06666666666666667,0,0.06666666666666667,0,0.06666666666666667,0,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0.06666666666666667,0,0.13333333333333333,0,0,0.13333333333333333,0,0.06666666666666667,0,0.06666666666666667,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,joy
37,Really starting to lose it.,0.0,0.16666666666666666,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sadness
38,Sadness Dept: Just heard on NPR that Gillo Pontecorvo died.,0.0,0.08333333333333333,0,0,0.08333333333333333,0,0,0,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0,0.08333333333333333,0.08333333333333333,0,0.3333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,sadness
39,(I screened it at VSU in '04 for my faculty advisors and they seemed fairly stunned by it.,0.05,0.05,0.05,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,0.2,0.05,0,0.05,0.1,0,0,0.05,0,0,0,0,0,0.2,0,0,0,0,0,0,surprise
40,Strange.),0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,surprise
41,Ogro is a Franco-era policier and all the more grim for its muted tone and washed-out palette.,0.0,0.1111111111111111,0.05555555555555555,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.05555555555555555,0.1111111111111111,0,0,0,0.2222222222222222,0,0,0,0,0.05555555555555555,0,0,0,0,0,0.05555555555555555,0,0,0.1111111111111111,0.05555555555555555,0,0,0,0,0.05555555555555555,0,0,0,0.05555555555555555,0,0,sadness
42,"""The most wonderful gift that dad got this birthday was the love ofamitabh-abhishek09.jpg his fans that he gets every year.",0.09090909090909091,0.0,0.045454545454545456,0,0.09090909090909091,0.045454545454545456,0,0,0,0,0.045454545454545456,0.09090909090909091,0,0.09090909090909091,0.18181818181818182,0,0,0,0.18181818181818182,0,0,0,0,0.045454545454545456,0,0.045454545454545456,0,0,0.045454545454545456,0,0,0,0,0,0.045454545454545456,0,0,0,0.045454545454545456,0,0,0,0,0,0,joy
