ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
1,This was the best summer I have ever experienced.,self,na,positive,na,neut,joy
2,I hate fucking pills.,self,present,negative,neut,negative,disgust
3,I had a blast in california hanging out with my family and friends.,self,past,negative,negative,negative,joy
4,Thank you to everyone who made me feel at home.,other,present,neut,neut,neut,joy
5,:) I love ya :),other,na,positive,na,na,joy
6,"My best friend, her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday.",other,past,positive,neut,neut,surprise
7,Thank you so much for everyone who came.,other,na,neut,na,neut,joy
8,:) Hailey recieved many gift cards (because I couldn't bring that much on the plane back home) and cute baby clothes and toys!!,self,present,positive,positive,positive,joy
9,Thank you everyone!,other,na,neut,na,na,joy
10,"We had a wonderful yummy cake, fruit and veggie treats.",self,past,positive,positive,positive,joy
11,"My friend Misty brought her cute new baby girl, Jamie!!",other,past,positive,positive,positive,joy
12,She is so adorable!!,other,na,positive,na,na,joy
13,We played fun baby games and caught up on some old times.,self,past,positive,positive,positive,joy
14,I had a blast thank you friend!!!!,self,na,positive,na,positive,joy
15,Thank you guys.,other,na,neut,na,na,joy
16,"I miss you so much and can't wait to see Ginny, Sister friend and my mom in a couple months!!!",self,present,negative,neut,negative,sadness
17,Love you,other,na,neut,na,neut,joy
18,"So many lies about who you're talking to, where you're going, what you're doing.",other,present,negative,neut,negative,disgust
19,"The people that just have to send a ""hug"" and it puts a smile on your face.",other,present,positive,positive,neut,joy
20,They are amazing.,other,na,positive,na,na,surprise
21,and I love them.,self,present,positive,neut,positive,joy
22,My life is falling apart and I don't mean online.,self,na,negative,na,negative,sadness
23,"I'm becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn, I just feel like I'm compltely useless.",self,past,negative,neut,negative,sadness
24,I started callin myself Aki-sama XD It's fun.,self,past,positive,positive,positive,joy
25,"The Charlotte Observer featured this article about deep-fried Coke a few days ago, which is appaling enough by itself.",other,past,positive,neut,neut,disgust
26,"(Speaking of deep-fried shit, did you know there was a town in Texas where they take a Snickers bar, wrap it in bacon, and then deep-fry it?)",other,present,negative,neut,neut,disgust
27,How awesome is this country?,other,na,positive,na,neut,joy
28,Had a lovely birthday yesterday with Alex and Christine.,other,past,positive,positive,na,joy
29,Been seeing so many good friends and refilling my cell-phone contacts.,other,present,positive,neut,na,joy
30,Visiting Bard was like a warm blanket.,other,na,positive,na,na,joy
31,Earlham is also making me feel more happy than I feel at home.,self,na,positive,na,positive,joy
32,"Oh and also, I'm listening to an audio book of ""The Time-Traveler's Wife"" and loving it.",self,present,positive,neut,positive,joy
33,Octoberfest was awesome.,other,na,positive,na,na,joy
34,I also got a ton of compliments including from a couple of strippers that weren't even mine.,self,past,positive,positive,positive,joy
35,What a ridiculously awesome time I had yesterday.,self,na,positive,na,neut,joy
36,It must have been all your good lucks and have funs that did it.,other,present,positive,positive,neut,joy
37,Really starting to lose it.,other,present,negative,neut,na,sadness
38,Sadness Dept: Just heard on NPR that Gillo Pontecorvo died.,other,na,negative,na,negative,sadness
39,(I screened it at VSU in '04 for my faculty advisors and they seemed fairly stunned by it.,self,past,positive,neut,neut,surprise
40,Strange.),other,na,neut,na,na,surprise
41,Ogro is a Franco-era policier and all the more grim for its muted tone and washed-out palette.,other,na,negative,na,na,sadness
42,"""The most wonderful gift that dad got this birthday was the love ofamitabh-abhishek09.jpg his fans that he gets every year.",other,past,positive,neut,neut,joy
43,"""What a fabulous gift for dad on his birthday!",other,na,positive,na,neut,joy
44,Its fantastic.,other,na,positive,na,na,joy
45,"Well, great.",other,na,positive,na,na,joy
46,We as a family are truly honoured.,other,na,neut,na,na,joy
47,"Its a matter of pride for every Indian when a recognition like this comes to dad from a cinema-savvy country like France.""",other,na,positive,na,neut,joy
48,"""I think its a wonderful idea to remake Sholay.",self,present,positive,neut,positive,joy
49,"All I can say is, knowing Ramus abilities from close quarters Im pretty sure even Ramesh uncle will be very proud of the film Ramu makes.""",self,present,positive,neut,neut,joy
50,The show is coming together awesome.,other,na,positive,na,positive,joy
51,"But the rest of it came across as a really angry, drunken rant.",other,na,negative,na,negative,anger
52,If anyone wants to give me a call I'd be more than happy to answer it.,self,present,positive,neut,neut,joy
53,lol.,other,na,neut,na,na,joy
54,My howland friend Alyssa came with me and we danced the night away.Most of my friends went which was awsome.,self,past,positive,neut,neut,joy
55,there was only a few of us single people there but it was cool.,other,na,positive,na,positive,joy
56,which is one of the slow songs i got to dance with one of my friends Nick who graduated Mathews last year.Hes awsome we danced alot together!Luvs!,self,present,positive,positive,positive,joy
57,the dance was awsome.The music was really cool.,other,na,positive,na,na,joy
58,too much rap and not enough rock for my taste but it was all good I was just happy getting out on the dance floor and getting my groove on.lol.,self,present,positive,neut,na,joy
59,I also got to see some howland people i once knew (Drew was one) That was pretty cool!,self,present,positive,neut,neut,joy
60,haha We did the Cha Cha slide and we were all so close together.,self,past,neut,neut,neut,joy
61,I just loved last night!!,self,past,positive,neut,positive,joy
62,Ha!,other,na,neut,na,na,joy
63,"then Lyssa,me,matt,and Kayla couldn't find someplace good to eat that was open 1 in the morning so we all went in to giant eagle and bought junk food haha.",self,past,positive,negative,positive,joy
64,it was ammusing.hehehe.But yea overall I haven't had that much fun in a very long time!!,self,past,positive,positive,positive,joy
65,im done telling you about my wonderful night lol.,other,present,positive,neut,neut,joy
66,I can't believe she is FINALLY here!!!,self,na,neut,na,neut,surprise
67,":) Levi is really exciting to be a big brother, he thinks she is sooooo cool.",other,na,positive,na,positive,joy
68,My life on the weekdays is tae kwon do its what i was born to do i love i there i love to teach people who want to be taught.,self,present,positive,neut,positive,joy
69,Everyone there is amazing its like my second home.,other,present,positive,neut,positive,joy
70,luckily we won that one.,self,past,positive,neut,positive,joy
71,it was pertty goood.,other,na,positive,na,na,joy
72,overall it was a pretty good tournament.,other,na,positive,na,na,joy
73,i'm always happy with those.,self,na,positive,na,na,joy
74,had a good chill time with team at dever's house.,other,past,positive,positive,na,joy
75,hehe,other,na,neut,na,na,joy
76,however i do miss volleyball.,self,na,negative,na,negative,sadness
77,"I woke up once during the dream and was like, ""oh crap, no, go back"" and managed to get back to it somehow.",self,na,positive,na,positive,anger
78,"So in the dream there were times where we were both kinda unsure, but it was still happy (for the both of us I hope).",self,na,positive,na,positive,joy
79,"That's odd though, as I don't usually care for dressy occassions.",self,na,negative,na,neut,surprise
80,WTF),other,na,neut,na,na,disgust
81,i'm finally reading the amazing adventures of kavalier &amp; clay.,self,present,positive,positive,positive,surprise
82,i'm not very far along but i'm quite enjoying it.,self,present,positive,neut,positive,joy
83,I'm in Buena Vista at these hot springs and it should be awesome but I didn't sleep one little bit last night.,self,present,positive,neut,neut,joy
84,I think the pain and awkwardness of attending your reception is worth seeing your face again.,self,present,negative,neut,negative,sadness
85,I miss you so much.,self,na,negative,na,negative,sadness
86,I've never missed anyone so much as you.,self,past,negative,neut,negative,sadness
87,I'm sitting here in this lobby thing and crying and it's very embarassing but I can't help it because I just want you and me to run away and I want you to hold me for one whole night and rock me to sleep.,self,present,negative,neut,negative,sadness
88,I miss you.,self,present,negative,neut,negative,sadness
89,"Well Im finishing up my first week at Jubans, its really awesome.",other,na,positive,na,positive,joy
90,We get drinks after work too and the food I can eat is awesome.,self,present,positive,neut,neut,joy
91,messed up a Quiz in Biology which sucks.,other,past,negative,negative,negative,disgust
92,Oh well its nothing too too bad but its making me nervous.,other,present,negative,negative,na,fear
93,"Truly horrifying footage of a Disney character orgy backstage at one of their shows.""",other,na,negative,na,neut,fear
94,"Well, not so much an orgy, but really rather amusing!",other,na,positive,na,na,joy
95,I just stood there in shock!,self,na,negative,na,negative,surprise
96,"Another slight parallel I find amusing: Jason played Heracles in Alcestes last year, just as I am playing Hippolyta in A Midsummer Night's Dream.",self,present,positive,neut,positive,joy
97,"Sock n' Buskin is a really fun theatre company, I'm liking my occaisional rehersal.",self,present,positive,neut,positive,joy
