ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
1,Mortar assault leaves at least 18 dead,other,present,negative,negative,na,sadness
2,Goal delight for Sheva,other,na,positive,na,na,joy
3,Nigeria hostage feared dead is freed,other,past,negative,negative,na,joy
4,Bombers kill shoppers,other,present,negative,neut,na,fear
5,"Vegetables, not fruit, slow brain decline",other,na,negative,na,na,surprise
6,PM: Havana deal a good experiment,other,present,positive,positive,na,joy
7,Kate is marrying Doherty,other,present,neut,neut,na,joy
8,NASA revisiting life on Mars question,other,present,neut,neut,negative,surprise
9,"Happy birthday, iPod",other,na,neut,na,na,joy
10,Alonso would be happy to retire with three titles,other,present,positive,neut,na,joy
11,Madonna's New Tot 'Happy at Home' in London,other,past,neut,na,neut,joy
12,Nicole Kidman asks dad to help stop husband's drinking,other,present,neut,neut,na,sadness
13,United Finds Good Connection in Win,other,present,neut,positive,na,joy
14,'Runway': Making Good Without Making Nice,other,present,neut,positive,positive,joy
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",self,present,negative,negative,na,sadness
16,Bad reasons to be good,other,na,positive,na,na,sadness
17,Madonna's new baby's daddy didn't realize adoption was `for good',other,present,positive,positive,na,surprise
18,Women in their 60s 'are perfectly good mothers',other,na,positive,na,na,sadness
19,We're a pretty kind 'bully',other,na,positive,na,na,joy
20,Moderate drinking reduces men's heart attack risk,other,present,negative,negative,na,joy
21,Tom Cruise and Katie Holmes set wedding date,other,past,neut,neut,na,joy
22,Kidnapped AP photographer freed in Gaza,other,past,positive,neut,positive,fear
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",other,present,neut,positive,na,disgust
24,Hurricane Paul Weakens To Tropical Storm,other,present,neut,neut,na,surprise
25,UK announces immigration restrictions,other,present,negative,negative,na,anger
26,Three found alive from missing Russian ship -report,other,past,negative,neut,na,joy
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,other,present,neut,negative,negative,sadness
28,Injured Marathon Winner Leaves Hospital,other,past,neut,positive,na,joy
29,Hacker unlocks Apple music download protection,other,present,positive,positive,na,surprise
30,Spanish journalist seized in Gaza,other,past,neut,na,neut,fear
31,Sudan urges UN to replace its special envoy,other,present,neut,neut,na,surprise
32,Resolution approved for international games,other,past,positive,neut,na,joy
33,Pair of Satellites Will Document Sun in 3-D,other,na,neut,na,na,joy
34,Martian Life Could Have Evaded Detection by Viking Landers,other,past,neut,neut,neut,surprise
35,The sweet tune of an anniversary,other,na,positive,na,na,joy
36,Did Viking Probes Miss Life on Mars?,other,na,neut,na,na,surprise
37,Diplomat acknowledges US arrogance in Iraq,other,present,negative,negative,neut,anger
38,More Human Remains Found at Ground Zero,other,past,neut,neut,neut,sadness
39,How to Prevent Iraq From Getting Even Worse,other,present,neut,neut,na,fear
40,Tensions as Hungary marks uprising,other,present,neut,negative,na,fear
41,Stanford study warns of Internet addiction,other,present,neut,na,na,fear
42,No evidence of ice reserves on the moon,other,na,neut,na,na,sadness
43,A Picture and A Thousand Words,other,na,neut,na,na,anger
44,Parachutist dies at bridge-jump festival,other,present,neut,neut,negative,sadness
