ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
1,Thinks that @melbahughes had a great 50th birthday party :),other,past,positive,positive,na,surprise
2,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto.",other,na,neut,na,na,sadness
3,the moment when you get another follower and you cheer.,other,present,positive,neut,neut,joy
4,Be the greatest dancer of your life! practice daily positive habits.  fun freedom habits,other,na,positive,na,na,joy
5,eww.. my moms starting to make her annual rum cake for the whole ramdyalally family. fml fml fml the smelll.......,other,present,neut,neut,na,disgust
6,If ur heart hurts all the time for tht person something isn't right where's the,other,present,positive,na,positive,joy
7,"I feel awful, and it's way too freaking early. Now off to leadership highschool...",self,present,negative,neut,negative,joy
8,So chuffed for safc fans! Bet me dar comes in mortz from the match,other,present,neut,na,neut,joy
9,Making art and viewing art are different at their core!,other,present,neut,neut,na,fear
10,"Soooo dooowwwn!! Move on, get some sleep... Me deserve better. forgetit yawning",self,present,positive,neut,neut,anger
11,"&quot;We're sorry, but the clip you selected isn't available from your location. Please select another clip.&quot; NO I REFUSE.",self,present,positive,neut,na,sadness
12,"Een ware Sint &quot;in-en uittocht&quot; achter de rug; Winkel IN, winkel UIT, winkel IN, winkel UIT!",other,na,neut,na,na,surprise
13,People know they can pull you  down and they dont give a care &,other,present,neut,neut,neut,surprise
14,My heart and soul @Jay_BabeBee is leaving me and I can't even see here,self,present,neut,neut,neut,sadness
15,chips and curry sauce,other,na,neut,na,na,joy
16,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal !",self,present,negative,neut,negative,anger
17,Oh and off to work till midnight -.-,other,present,positive,neut,na,joy
18,I have a package at the post office. Can't think what could be in it.  I don't remember internet shopping while drinking.,self,present,neut,neut,neut,surprise
19,@mizmers bahahahaha so many things i could say... RT @danecook: I just shit my pants. Pure 100% gravy.,self,present,negative,positive,neut,joy
20,@GC51 morning :) oh what a bad episode to come in towards the end... And only 1 more episode??,other,present,negative,negative,neut,sadness
21,large crowds of manic football fans &amp; mascots,other,na,negative,na,na,fear
22,There is no concrete equation for joy. you can't explain how to get in your life.,other,present,positive,neut,neut,joy
23,I don't need present's of king's but just just to be in the presence of The King  Peace PleasuresForEvermore,other,present,neut,na,na,joy
24,All my battles r surely handled properly &amp;  never by me ... it feels so good,other,past,positive,positive,neut,joy
25,Bringing my cousin &amp; his friend to jingle jam &amp; they get to see drake &amp; i dontt ? fml,self,present,negative,neut,na,joy
26,Nobody up worth talking too so back to sleep I try to go!,self,present,positive,neut,na,joy
27,"Even if you're bad @ something, i cant knock you if you try. 12 the time, those ppl are the 1s that love it the most. Don't kill their",self,present,negative,neut,negative,joy
28,Someone on my high school football team is also called Moriarty.,other,past,neut,neut,neut,fear
29,I just absolutely lost my mind.. :(,self,past,negative,neut,negative,anger
30,Christmas lights? Check! :) now its time to decorate inside..,other,present,neut,neut,neut,joy
31,"Obscura, de app van @lafilledo is awesome. Zowel @LadyElena als ik stonden daardoor al op de homepage van La fille d'O.",other,na,positive,na,na,joy
32,My earlier tweet should've said &quot;I sometimes think I'm the youngest person...&quot;,self,past,neut,neut,neut,anger
33,Working on this third drink tho...  Someone is tryna challenge me to a cook off... they've already,other,present,neut,neut,na,sadness
34,sounds awful but alot of people are dying recently :((,other,present,negative,neut,negative,sadness
35,Getting Ready to Spend Time With Fam ---   and is What Life Is All About,other,present,neut,neut,na,joy
36,Group meeting 1.5 hours early. Can't wait to present today and rid myself from this bitch. suitandtie,other,present,negative,neut,neut,joy
37, is to do calc problems....that has been my life for the last 3 hours and will be for the rest of the night,other,present,negative,negative,na,joy
38,Feeling left out... I guess I always have my boyfriend.,self,present,neut,neut,neut,sadness
39,@Emma__Janeee FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER?! hahahaha xx,other,present,positive,neut,na,anger
40,@adruckrey I believe you've just got on to a hypothetical highway that may be leading to the danger zone.  mad,self,present,negative,neut,neut,anger
41,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun..... & 59:19 (KJV) glory God",other,present,positive,neut,neut,fear
