ID,text,pos,neg,PRP$,VBG,VBD,VB,POS,'',VBP,WDT,JJ,WP,VBZ,DT,RP,NN,FW,",",.,TO,PRP,RB,-LRB-,:,NNS,NNP,``,WRB,CC,PDT,RBS,RBR,VBN,EX,IN,WP$,AUX,CD,MD,NNPS,AUXG,-RRB-,JJS,JJR,UH,label,direction,tense,overall_polarity,event_polarity,action_polarity
1,"He looked around on every side and exclaimed, ""Oh, heavens, where am I?""",0.0526315789474,0.0,0.0,0.0,0.105263157895,0.0,0.0,0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0526315789474,0.0526315789474,0.0526315789474,0.0,0.157894736842,0.0526315789474,0.0,0.105263157895,0.0,0.0,0.0,0.0526315789474,0.0,0.0526315789474,0.0526315789474,0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0526315789474,0.0,0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789474,7,self,na,positive,na,positive
2,"Then he got up and clambered out of the cave, went into the forest, and thought, ""Here I am quite alone and deserted, how shall I obtain a horse now?""",0.0,0.0540540540541,0.0,0.0,0.108108108108,0.027027027027,0.0,0.027027027027,0.0,0.0,0.0,0.0,0.0,0.0810810810811,0.0540540540541,0.0540540540541,0.0,0.108108108108,0.027027027027,0.0,0.0810810810811,0.135135135135,0.0,0.0,0.0,0.027027027027,0.027027027027,0.027027027027,0.0810810810811,0.0,0.0,0.0,0.027027027027,0.0,0.0540540540541,0.0,0.027027027027,0.0,0.027027027027,0.0,0.0,0.0,0.0,0.0,0.0,6,self,present,negative,neut,negative
3,"""Alas, thou canst not help me.""",0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6,other,present,neut,neut,neut
4,"They leapt nimbly upstairs and downstairs, and were merry and happy.",0.153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.0769230769231,0.0769230769231,0.0,0.0769230769231,0.0769230769231,0.0,0.0,0.0769230769231,0.0769230769231,0.0,0.0,0.230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,other,present,positive,neut,neut
5,"Then she opened the door of the small house, and when she had opened it, there stood twelve horses, such horses, so bright and shining, that his heart rejoiced at the sight of them.",0.05,0.0,0.025,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.075,0.0,0.1,0.0,0.125,0.025,0.0,0.1,0.05,0.0,0.0,0.05,0.0,0.0,0.025,0.05,0.0,0.0,0.0,0.05,0.025,0.1,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,other,past,positive,neut,neut
6,"Then they laughed and said, ""Indeed, stupid Hans, where wilt thou get a horse?""",0.0,0.1,0.0,0.0,0.1,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.1,0.0,0.15,0.05,0.0,0.05,0.05,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2,other,present,negative,neut,negative
7,"Hans went into the parlour, but the miller said he should not sit down to table, for he was so ragged and torn, that they would all be ashamed of him if any one came in.",0.0,0.05,0.0,0.0,0.075,0.025,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.075,0.025,0.05,0.0,0.075,0.025,0.025,0.1,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.05,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2,other,na,negative,na,negative
8,"In the morning when he awoke, the three days had passed, and a coach came with six horses and they shone so bright that it was delightful to see them! and a servant brought a seventh as well, which was for the poor miller""s boy.",0.078431372549,0.0196078431373,0.0,0.0,0.0588235294118,0.0196078431373,0.0196078431373,0.0,0.0196078431373,0.0196078431373,0.078431372549,0.0,0.0,0.117647058824,0.0,0.078431372549,0.0,0.0588235294118,0.0392156862745,0.0196078431373,0.078431372549,0.0588235294118,0.0,0.0,0.0392156862745,0.0196078431373,0.0,0.0196078431373,0.0588235294118,0.0,0.0,0.0,0.0196078431373,0.0,0.078431372549,0.0,0.0588235294118,0.0392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,other,present,positive,neut,neut
9,"So she ordered the servant to bring the seventh horse, and when the miller saw it, he said that such a horse as that had never yet entered his yard.",0.0,0.0,0.030303030303,0.0,0.0909090909091,0.030303030303,0.0,0.0,0.0,0.0,0.030303030303,0.0,0.0,0.151515151515,0.0,0.121212121212,0.0,0.0606060606061,0.030303030303,0.030303030303,0.0909090909091,0.0606060606061,0.0,0.0,0.0,0.030303030303,0.0,0.030303030303,0.030303030303,0.030303030303,0.0,0.0,0.030303030303,0.0,0.0909090909091,0.0,0.030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,other,present,neut,neut,neut
10,"The little tailor did not let himself be frightened away, but was quite delighted, and said, ""Boldly ventured is half won.""",0.0740740740741,0.037037037037,0.0,0.0,0.037037037037,0.037037037037,0.0,0.037037037037,0.0,0.0,0.111111111111,0.0,0.0,0.037037037037,0.0,0.037037037037,0.0,0.111111111111,0.037037037037,0.0,0.037037037037,0.185185185185,0.0,0.0,0.0,0.0,0.037037037037,0.0,0.0740740740741,0.0,0.0,0.0,0.0740740740741,0.0,0.0,0.0,0.148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,other,na,positive,na,positive
