ID,text,pos,neg,PRP$,VBG,VBD,VBN,VBP,JJ,WP,VBZ,DT,RP,NN,),(,",",.,TO,PRP,RB,:,NNS,NNP,VB,WRB,CC,IN,MD,JJS,label
1,This was the best summer I have ever experienced.,0.1,0.0,0,0,0.1,0.1,0.1,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,joy
2,I had a blast in california hanging out with my family and friends.,0.0,0.0714285714286,0.07142857142857142,0.07142857142857142,0.07142857142857142,0,0,0,0,0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0,0,0,0.07142857142857142,0,0.07142857142857142,0,0,0.07142857142857142,0,0,0,0.07142857142857142,0.14285714285714285,0,0,joy
3,:) I love ya :),0.142857142857,0.0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0,0,0,0,0,0,0,0,joy
4,"My best friend, her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday.",0.0454545454545,0.0,0.13636363636363635,0,0.045454545454545456,0,0,0.045454545454545456,0,0,0.045454545454545456,0,0.3181818181818182,0,0,0.045454545454545456,0.045454545454545456,0,0.045454545454545456,0,0,0,0,0.045454545454545456,0,0.09090909090909091,0.09090909090909091,0,0.045454545454545456,surprise
5,Thank you so much for everyone who came.,0.0,0.0,0,0,0.1111111111111111,0,0,0.1111111111111111,0.1111111111111111,0,0,0,0.1111111111111111,0,0,0,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0,0.1111111111111111,0,0,0,0.1111111111111111,0,0,joy
6,:) Hailey recieved many gift cards (because I couldn't bring that much on the plane back home) and cute baby clothes and toys!!,0.0344827586207,0.0,0,0,0.034482758620689655,0,0,0.06896551724137931,0,0.034482758620689655,0.034482758620689655,0,0.13793103448275862,0.06896551724137931,0.034482758620689655,0,0.06896551724137931,0,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.034482758620689655,0,0.06896551724137931,0.06896551724137931,0.034482758620689655,0,joy
7,"So many lies about who you're talking to, where you're going, what you're doing.",0.0,0.05,0,0.15,0,0,0.15,0.05,0.1,0,0,0,0,0,0,0.1,0.05,0.05,0.15,0.05,0,0.05,0,0,0.05,0,0.05,0,0,disgust
8,My life is falling apart and I don't mean online.,0.0,0.0833333333333,0.08333333333333333,0.08333333333333333,0,0,0.08333333333333333,0,0,0.08333333333333333,0,0,0.16666666666666666,0,0,0,0.08333333333333333,0,0.08333333333333333,0.16666666666666666,0,0,0,0.08333333333333333,0,0.08333333333333333,0,0,0,sadness
9,"I'm becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn, I just feel like I'm compltely useless.",0.0322580645161,0.0645161290323,0,0.03225806451612903,0,0.0967741935483871,0.12903225806451613,0.06451612903225806,0,0,0.03225806451612903,0,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0,0.16129032258064516,0.0967741935483871,0,0.03225806451612903,0,0,0,0.03225806451612903,0.0967741935483871,0,0,sadness
10,"I broke my leg, and my head hurts, and Jack lost my money.",0.0,0.1875,0.1875,0,0.125,0,0,0,0,0,0,0,0.1875,0,0,0.125,0.0625,0,0.0625,0,0,0.0625,0.0625,0,0,0.125,0,0,0,sadness
11,John and my friend planned a baby shower for me and cooked lunch.,0.0,0.0,0.07142857142857142,0,0.14285714285714285,0,0,0,0,0,0.07142857142857142,0,0.2857142857142857,0,0,0,0.07142857142857142,0,0.07142857142857142,0,0,0,0.07142857142857142,0,0,0.14285714285714285,0.07142857142857142,0,0,sadness
12,That would be so awesome!,0.166666666667,0.0,0,0,0,0,0,0.16666666666666666,0,0,0.16666666666666666,0,0,0,0,0,0.16666666666666666,0,0,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0,0.16666666666666666,0,joy
13,Snow in October!,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0.25,0,0,surprise
14,"I'm missing everyone in Wisconsin with the Blue Stars, and sad that I had to leave early.",0.0,0.1,0,0.05,0.05,0,0.05,0.05,0,0.05,0.05,0,0.05,0,0,0.05,0.05,0.05,0.1,0,0,0,0.15,0.05,0,0.05,0.15,0,0,sadness
15,"It was too much weight for me to carry, my own plus everyone elses.",0.0,0.0,0.0625,0,0.0625,0,0,0.125,0,0,0,0,0.125,0,0,0.0625,0.0625,0.0625,0.125,0.0625,0,0.0625,0,0.0625,0,0.0625,0.0625,0,0,sadness
16,"Everybody hates everybody, everybody lies, talks shit behind backs, and treats people like shit.",0.0555555555556,0.166666666667,0,0,0,0,0.05555555555555555,0,0,0.16666666666666666,0,0,0.2222222222222222,0,0,0.16666666666666666,0.05555555555555555,0,0,0,0,0.16666666666666666,0,0,0,0.05555555555555555,0.1111111111111111,0,0,disgust
17,"My mother truly wants to murder my father, and then gets pissed off when i don't agree with her.",0.0,0.0454545454545,0.09090909090909091,0,0,0.045454545454545456,0.045454545454545456,0,0,0.09090909090909091,0,0.045454545454545456,0.13636363636363635,0,0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.13636363636363635,0,0,0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0,0,anger
